contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0x34BC9A332350A41374aa650f1152C8D88e35a878_1,SuicidalContract,collectOwnerWinnings,51,17,85,52,25,190,45,28,86,62,29,30,47,60,101,90,36,43,69,44,25,19,34,52,42,86,210,23,155,43,107,56,57,39,32,67,66,56,261,30
0x34BC9A332350A41374aa650f1152C8D88e35a878_1,EtherLeak,collectPlayerWinnings,1182,2720,N/A,482,N/A,N/A,N/A,559,2649,N/A,N/A,N/A,N/A,N/A,369,N/A,N/A,N/A,N/A,N/A,N/A,2964,N/A,N/A,N/A,N/A,5455,2130,7007,2780,5662,N/A,N/A,5299,N/A,N/A,2107,N/A,N/A,N/A
0x34BC9A332350A41374aa650f1152C8D88e35a878_2,SuicidalContract,collectOwnerWinnings,23,47,15,15,29,12,39,24,58,61,93,6,55,16,43,12,23,37,65,79,22,22,30,22,29,23,26,36,13,25,26,41,32,20,55,68,12,34,33,28
0x3da034753b42bda1bcfa682f29685e2fd6729016,EtherLeak,withdraw,12,43,25,27,15,14,17,12,14,15,21,10,19,45,14,39,23,199,12,21,24,25,20,17,17,28,18,178,79,15,17,117,12,13,16,17,45,90,15,29
0x3f30a9ac5f4d9cccfe0331948f5a8f5df1ba3856_1,EtherLeak,sell,237,1029,2026,647,115,119,1229,5821,6273,1010,136,5779,1748,990,4399,380,4464,1410,4229,2490,1139,797,800,5291,912,68,7025,739,5024,1101,1820,4907,N/A,2601,5951,2038,5587,2230,127,742
0x3f30a9ac5f4d9cccfe0331948f5a8f5df1ba3856_3,EtherLeak,sell,148,1256,97,300,92,1807,178,212,688,664,315,258,2350,1234,97,101,161,307,88,551,74,217,1154,327,99,243,919,379,1058,236,1595,418,193,223,2578,167,228,377,2856,1303
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_1,EtherLeak,withdrawEther,10,26,20,17,27,24,19,22,18,20,16,19,4,26,18,14,3,23,18,14,21,20,19,35,19,13,3,16,22,20,20,18,4,31,15,25,33,14,20,16
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_1,EtherLeak,close,10,26,20,17,27,24,19,22,18,20,16,19,4,26,18,14,3,23,18,14,21,20,19,35,19,13,3,16,22,20,20,18,4,31,15,25,33,14,20,16
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_3,SuicidalContract,close,44,20,21,26,24,63,23,16,4,24,2,24,28,29,30,33,3,29,29,24,134,30,4,23,20,56,46,24,30,24,22,24,57,29,21,32,24,19,18,20
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_3,EtherLeak,withdrawEther,4,4,3,3,21,3,3,3,4,3,2,4,4,4,15,4,3,4,4,17,15,22,3,4,2,4,4,3,3,17,4,3,4,4,3,16,4,3,5,3
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_3,EtherLeak,close,4,4,3,3,21,3,3,3,4,3,2,4,4,4,15,4,3,4,4,17,15,22,3,4,2,4,4,3,3,17,4,3,4,4,3,16,4,3,5,3
