contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0x34BC9A332350A41374aa650f1152C8D88e35a878_1,EtherLeak,collectPlayerWinnings,1019,1641,2560,2203,5606,1420,N/A,49,1124,5131,296,3107,6322,449,5065,1917,478,3733,N/A,390,2256,4616,1883,4450,759,780,N/A,6188,3058,74,1852,N/A,86,1539,772,136,5030,709,854,2180
0x34BC9A332350A41374aa650f1152C8D88e35a878_2,SuicidalContract,collectOwnerWinnings,13,13,52,13,17,31,24,81,7,22,22,43,28,28,63,17,72,20,16,9,39,44,25,42,17,38,24,28,13,23,11,30,21,39,27,21,14,16,58,42
0x3da034753b42bda1bcfa682f29685e2fd6729016,EtherLeak,withdraw,11,21,13,18,19,20,15,13,13,20,54,19,16,14,15,21,18,16,26,25,28,13,15,15,18,13,16,20,66,13,14,21,18,16,14,13,13,14,14,17
0x3f30a9ac5f4d9cccfe0331948f5a8f5df1ba3856_1,EtherLeak,sell,22,298,208,33,615,205,142,210,472,529,442,637,156,276,188,329,534,93,186,695,667,689,112,1115,143,87,21,528,642,442,305,126,1728,894,116,2106,21,186,118,653
0x3f30a9ac5f4d9cccfe0331948f5a8f5df1ba3856_3,EtherLeak,sell,24,250,432,1227,45,1722,341,188,61,716,469,159,216,643,139,550,99,905,444,55,124,898,278,861,112,154,209,58,207,24,552,194,100,163,104,216,977,635,575,163
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_1,EtherLeak,withdrawEther,3,3,4,3,3,3,3,4,3,3,4,3,3,3,4,3,3,2,3,3,3,3,3,3,5,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_1,EtherLeak,close,3,3,4,3,3,3,3,4,3,3,4,3,3,3,4,3,3,2,3,3,3,3,3,3,5,3,3,3,4,3,3,3,4,4,4,3,3,3,3,3
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_3,SuicidalContract,close,3,3,3,3,4,4,3,3,4,4,5,3,17,23,3,4,4,3,4,4,2,4,10,4,3,4,4,4,3,5,3,4,3,4,3,3,16,3,3,4
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_3,EtherLeak,withdrawEther,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,2,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_3,EtherLeak,close,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,2,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3
0x43f208d94a82cc2749a140b5e82636f31ce0390d,EtherLeak,winnerReward,7,10,10,8,11,8,11,8,8,8,10,10,9,10,9,8,11,7,10,11,11,8,10,9,8,10,10,8,9,10,10,8,11,10,10,8,12,7,14,21
0x43f208d94a82cc2749a140b5e82636f31ce0390d,EtherLeak,loser,7,10,10,8,11,8,11,8,8,8,10,10,9,10,9,8,11,7,10,11,11,8,10,9,8,10,10,8,9,10,10,8,11,10,10,8,12,7,14,21
0x528732d7ff76a31bd419f1d57d549d7643c02db2_1,EtherLeak,payTokens,133,312,1717,121,2723,1767,505,324,537,265,76,1758,127,86,342,1781,347,443,705,371,1718,1045,629,87,60,72,489,361,212,323,59,1831,1708,501,1862,1700,N/A,131,36,N/A
0x528732d7ff76a31bd419f1d57d549d7643c02db2_3,EtherLeak,payTokens,231,4235,5007,4574,N/A,N/A,4170,4060,6277,6860,4098,N/A,N/A,5051,4844,1680,N/A,N/A,2440,N/A,N/A,N/A,4072,5323,N/A,1870,4247,N/A,1404,1454,N/A,N/A,6740,2818,1737,4126,4462,3985,1538,4252
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_1,SuicidalContract,stop,1,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_1,EtherLeak,stop,3,4,5,5,4,3,4,5,5,5,18,5,5,6,5,5,6,4,5,20,6,5,4,6,17,5,5,4,4,4,6,4,4,5,5,5,20,5,5,5
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_1,EtherLeak,kill,3,4,5,5,4,3,4,5,5,5,18,5,5,6,5,5,6,4,5,20,6,5,4,6,17,5,5,4,4,4,6,4,4,5,5,5,20,5,5,5
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_1,EtherLeak,withdrawFunds,3,4,5,5,4,3,4,5,5,5,18,5,5,6,5,5,6,4,5,20,6,5,4,6,17,5,5,4,4,4,6,4,4,5,5,5,20,5,5,5
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_2,SuicidalContract,stop,4,3,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,1,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,SuicidalContract,stop,4,3,5,6,5,4,6,12,5,5,5,20,6,6,5,5,6,5,5,5,6,5,6,6,5,5,5,5,6,5,6,6,15,5,6,16,5,20,6,5
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,EtherLeak,stop,4,3,5,6,5,4,6,14,5,5,5,20,6,6,5,5,6,5,5,6,5,5,6,6,5,5,5,5,5,5,6,6,5,5,6,13,5,20,6,5
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,EtherLeak,kill,4,3,5,6,5,4,6,14,5,5,5,20,6,6,5,5,6,5,5,6,5,5,6,6,5,5,5,5,5,5,6,6,5,5,6,13,5,20,6,5
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_3,EtherLeak,withdrawFunds,4,3,5,6,5,4,6,14,5,5,5,20,6,6,5,5,6,5,5,6,5,5,6,6,5,5,5,5,5,5,6,6,5,5,6,13,5,20,6,5
0x612f1bdbe93523b7f5036efa87493b76341726e3,EtherLeak,withdraw,13,15,17,14,15,17,14,19,22,19,15,13,13,12,14,24,14,10,13,15,16,18,22,44,14,13,16,13,19,15,15,15,14,13,14,24,14,17,18,13
0x724e3a236d3e9c8ad2c3d1aff181118e6e9b3026,EtherLeak,withdraw,11,18,14,24,17,19,23,38,22,16,17,16,17,14,16,14,15,16,13,18,10,19,16,15,15,34,17,15,18,18,29,20,17,15,75,13,20,20,18,16
0x7bd9084fdd5d021c226918d86c0721cb088b9b4a,EtherLeak,multiSendEth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_1,EtherLeak,transferEtherToOwner,28,8,27,19,18,10,12,24,23,23,12,39,41,29,29,32,15,22,29,13,28,9,27,31,39,15,8,13,23,40,11,28,23,19,18,31,15,8,34,9
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_3,SuicidalContract,destoryContract,8,19,11,7,10,11,30,12,10,33,9,9,12,9,13,9,21,21,10,23,9,9,9,12,10,12,12,11,12,8,12,20,12,26,14,10,10,12,10,23
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_3,EtherLeak,destoryContract,17,27,11,19,20,40,45,34,34,39,9,35,36,33,27,33,33,35,42,29,27,43,13,13,36,35,44,11,27,31,27,20,26,26,40,25,32,12,24,28
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_3,EtherLeak,transferEtherToOwner,17,27,11,19,20,40,45,34,34,39,9,35,36,33,27,33,33,35,42,29,27,43,13,13,36,35,44,11,27,31,27,20,26,26,40,25,32,12,24,28
0x8e9f6181371013194d48bc031adf7fe179fb37e3,EtherLeak,withdraw,29,26,22,23,26,21,21,23,21,32,28,19,25,18,28,22,23,20,19,20,21,23,43,26,28,26,46,20,19,21,24,25,27,18,18,25,22,23,26,24
0x95195adFb67f28AcFC07CE09eb496188527C0303_2,SuicidalContract,kill,12,13,13,13,139,127,12,13,14,13,13,12,14,152,14,216,13,14,13,219,13,13,13,14,289,14,14,232,14,14,14,14,15,13,12,13,13,13,218,12
0x95195adFb67f28AcFC07CE09eb496188527C0303_3,SuicidalContract,kill,128,171,144,600,190,169,1338,429,198,115,212,140,119,425,129,427,172,230,135,144,193,118,98,127,241,228,164,110,209,212,2900,99,133,117,179,350,152,150,420,6147
0x95195adFb67f28AcFC07CE09eb496188527C0303_3,EtherLeak,kill,128,171,144,600,190,169,1338,429,198,115,212,140,119,425,129,427,172,230,135,144,193,118,98,127,241,228,164,110,209,212,2900,99,133,117,179,350,152,150,420,6147
